combination,R2,MSE
"['OnBasePct', 'Runs', 'Walks']",0.40500249556901424,913186.6263214776
"['OnBasePct', 'Runs', 'Strikeouts']",0.4061560516828651,908852.1915613596
"['OnBasePct', 'Runs', 'StolenBases']",0.41398823190226486,897158.1485564804
"['OnBasePct', 'Hits', 'Doubles']",0.35595792926959413,968505.6201295753
"['OnBasePct', 'Hits', 'Triples']",0.3775345316682314,940381.558132135
"['OnBasePct', 'Hits', 'HomeRuns']",0.43685477011161666,851651.0768199492
"['OnBasePct', 'Hits', 'RBI']",0.43055917932644033,858842.542314282
"['OnBasePct', 'Hits', 'Walks']",0.38943193513187657,929542.1737908612
"['OnBasePct', 'Hits', 'Strikeouts']",0.36563539071920576,956811.7254221581
"['OnBasePct', 'Hits', 'StolenBases']",0.36732887445851986,953987.2659973127
"['OnBasePct', 'Doubles', 'Triples']",0.30315218508872066,1047556.9092097174
"['OnBasePct', 'Doubles', 'HomeRuns']",0.39010182386032854,920842.4045459321
"['OnBasePct', 'Doubles', 'RBI']",0.4158041074136003,881070.7317924112
"['OnBasePct', 'Doubles', 'Walks']",0.3616060921815183,970283.1523300024
"['OnBasePct', 'Doubles', 'Strikeouts']",0.3110453935724003,1037254.1657098472
"['OnBasePct', 'Doubles', 'StolenBases']",0.3141513186359317,1030979.4584679172
"['OnBasePct', 'Triples', 'HomeRuns']",0.36656730393023035,959586.5817478893
"['OnBasePct', 'Triples', 'RBI']",0.42385842542718144,868568.3676381108
"['OnBasePct', 'Triples', 'Walks']",0.31742926072709254,1050155.7020392804
"['OnBasePct', 'Triples', 'Strikeouts']",0.21479276766337724,1199198.393919514
"['OnBasePct', 'Triples', 'StolenBases']",0.12619824583596134,1336303.294401256
"['OnBasePct', 'HomeRuns', 'RBI']",0.42321583663584905,869564.0436371171
"['OnBasePct', 'HomeRuns', 'Walks']",0.3956888339262349,924759.9888223924
"['OnBasePct', 'HomeRuns', 'Strikeouts']",0.3537045098234511,983213.1531970918
"['OnBasePct', 'HomeRuns', 'StolenBases']",0.3823888564679653,942036.9391584027
"['OnBasePct', 'RBI', 'Walks']",0.4348361689058393,856941.6444683153
"['OnBasePct', 'RBI', 'Strikeouts']",0.4439351550651556,836733.2932744635
"['OnBasePct', 'RBI', 'StolenBases']",0.43847548309083645,847649.9529969624
"['OnBasePct', 'Walks', 'Strikeouts']",0.3147821062008534,1055379.1428930429
"['OnBasePct', 'Walks', 'StolenBases']",0.31488200940203087,1056200.3491646263
"['OnBasePct', 'Strikeouts', 'StolenBases']",0.22492015799247742,1186389.0854810663
"['Runs', 'Hits', 'Doubles']",0.3802305773267677,943941.6481993903
"['Runs', 'Hits', 'Triples']",0.41227875782757295,899060.0084550187
"['Runs', 'Hits', 'HomeRuns']",0.43869395290964136,853969.2101872505
"['Runs', 'Hits', 'RBI']",0.4391174141686724,852723.4856857907
"['Runs', 'Hits', 'Walks']",0.3955136643018736,924499.0104918241
"['Runs', 'Hits', 'Strikeouts']",0.39185664986316493,928286.0707857993
"['Runs', 'Hits', 'StolenBases']",0.3961811416164783,923666.326158116
"['Runs', 'Doubles', 'Triples']",0.40412330825301107,911033.2471469336
"['Runs', 'Doubles', 'HomeRuns']",0.4256598079432944,874051.7333042591
"['Runs', 'Doubles', 'RBI']",0.4313759835071972,863219.2893910442
"['Runs', 'Doubles', 'Walks']",0.3887638747092768,933109.4445439186
"['Runs', 'Doubles', 'Strikeouts']",0.3877482780077058,932732.4463200473
"['Runs', 'Doubles', 'StolenBases']",0.3877591125590647,935600.9126480417
"['Runs', 'Triples', 'HomeRuns']",0.44624452421329314,847478.7712764347
"['Runs', 'Triples', 'RBI']",0.4460974114494,842027.0355231013
"['Runs', 'Triples', 'Walks']",0.4104318498666478,908164.8404302014
"['Runs', 'Triples', 'Strikeouts']",0.42434706820353413,883708.6440834462
"['Runs', 'Triples', 'StolenBases']",0.4220950374489645,887692.7658241901
"['Runs', 'HomeRuns', 'RBI']",0.4427630207191749,844598.5523549257
"['Runs', 'HomeRuns', 'Walks']",0.43665753429965337,863161.6105183784
"['Runs', 'HomeRuns', 'Strikeouts']",0.4806020094195801,792696.7039755316
"['Runs', 'HomeRuns', 'StolenBases']",0.44378586829864924,849764.6019379813
"['Runs', 'RBI', 'Walks']",0.4423059845818468,847763.8507863305
"['Runs', 'RBI', 'Strikeouts']",0.4779928517616501,789141.2665448391
"['Runs', 'RBI', 'StolenBases']",0.4481944726634839,835834.8594304025
"['Runs', 'Walks', 'Strikeouts']",0.40848048473311566,908574.027287495
"['Runs', 'Walks', 'StolenBases']",0.4113594681558196,903853.2436260225
"['Runs', 'Strikeouts', 'StolenBases']",0.41887248788657,890235.9668746982
"['Hits', 'Doubles', 'Triples']",0.3640071249547914,957967.2580259169
"['Hits', 'Doubles', 'HomeRuns']",0.42309802241169425,870942.8575610004
"['Hits', 'Doubles', 'RBI']",0.4160543351187397,879968.6766725478
"['Hits', 'Doubles', 'Walks']",0.3795075945838776,942209.3304379603
"['Hits', 'Doubles', 'Strikeouts']",0.3523604477597484,973016.4665321037
"['Hits', 'Doubles', 'StolenBases']",0.3548879975028563,969603.9976764409
"['Hits', 'Triples', 'HomeRuns']",0.43696688362963665,852267.9400193499
"['Hits', 'Triples', 'RBI']",0.4243685132788396,869033.1668625185
"['Hits', 'Triples', 'Walks']",0.39336414421985594,924869.2746974537
"['Hits', 'Triples', 'Strikeouts']",0.374896939632834,943577.0232299581
"['Hits', 'Triples', 'StolenBases']",0.3760052353677998,943207.9901918586
"['Hits', 'HomeRuns', 'RBI']",0.421564724397647,873329.3017982298
"['Hits', 'HomeRuns', 'Walks']",0.4352503615563118,859847.7808845055
"['Hits', 'HomeRuns', 'Strikeouts']",0.46947434531042037,799588.7506064128
"['Hits', 'HomeRuns', 'StolenBases']",0.4399394569538767,847895.6328662084
"['Hits', 'RBI', 'Walks']",0.4317772859478491,862768.2782194018
"['Hits', 'RBI', 'Strikeouts']",0.45046847862796724,825998.6930710578
"['Hits', 'RBI', 'StolenBases']",0.4401750596625858,844474.1184986221
"['Hits', 'Walks', 'Strikeouts']",0.3926572522306137,924370.3206599621
"['Hits', 'Walks', 'StolenBases']",0.38854875680026535,931265.2077991192
"['Hits', 'Strikeouts', 'StolenBases']",0.36449295257773845,957565.699597143
"['Doubles', 'Triples', 'HomeRuns']",0.3903726131825031,918638.1043291088
"['Doubles', 'Triples', 'RBI']",0.414805391004356,882261.399818857
"['Doubles', 'Triples', 'Walks']",0.3608537929397646,972601.8915170071
"['Doubles', 'Triples', 'Strikeouts']",0.30118755135122127,1050046.7779742943
"['Doubles', 'Triples', 'StolenBases']",0.30418524169690403,1045892.7588774571
"['Doubles', 'HomeRuns', 'RBI']",0.41295130083074627,885542.3436495442
"['Doubles', 'HomeRuns', 'Walks']",0.4059210687790629,903942.908253924
"['Doubles', 'HomeRuns', 'Strikeouts']",0.40331751539347904,898327.6620044832
"['Doubles', 'HomeRuns', 'StolenBases']",0.4065631802035924,897178.5584574419
"['Doubles', 'RBI', 'Walks']",0.42327826578815114,875395.6202653239
"['Doubles', 'RBI', 'Strikeouts']",0.43544202859689013,849496.6054822889
"['Doubles', 'RBI', 'StolenBases']",0.43073850740105657,858795.9057415577
"['Doubles', 'Walks', 'Strikeouts']",0.3652735002363857,964885.8572834649
"['Doubles', 'Walks', 'StolenBases']",0.3625140361654323,969993.8820033731
"['Doubles', 'Strikeouts', 'StolenBases']",0.3105356339983711,1036160.532491897
"['Triples', 'HomeRuns', 'RBI']",0.42166995655092376,870974.2977744542
"['Triples', 'HomeRuns', 'Walks']",0.4000727529002449,915546.5870074319
"['Triples', 'HomeRuns', 'Strikeouts']",0.3654386914738865,956826.6033403848
"['Triples', 'HomeRuns', 'StolenBases']",0.36470860619806067,966275.7700170695
"['Triples', 'RBI', 'Walks']",0.4329281399635215,860035.0518575229
"['Triples', 'RBI', 'Strikeouts']",0.44183757375430305,838962.240433032
"['Triples', 'RBI', 'StolenBases']",0.43193879590901785,859831.0878113337
"['Triples', 'Walks', 'Strikeouts']",0.3165931557707752,1051816.5682803895
"['Triples', 'Walks', 'StolenBases']",0.3099965300462502,1063850.096787683
"['Triples', 'Strikeouts', 'StolenBases']",0.15798048469184617,1284625.2671046457
"['HomeRuns', 'RBI', 'Walks']",0.43212529576266184,861056.0103172176
"['HomeRuns', 'RBI', 'Strikeouts']",0.44657969809315823,833546.9467180377
"['HomeRuns', 'RBI', 'StolenBases']",0.43168279221528866,858663.273589097
"['HomeRuns', 'Walks', 'Strikeouts']",0.4244975112742854,882623.8378596238
"['HomeRuns', 'Walks', 'StolenBases']",0.3989687332860618,922696.4126360242
"['HomeRuns', 'Strikeouts', 'StolenBases']",0.39011220602662566,928814.2713753337
"['RBI', 'Walks', 'Strikeouts']",0.4705726438605315,803378.7009807735
"['RBI', 'Walks', 'StolenBases']",0.4389200710598038,852020.8197162437
"['RBI', 'Strikeouts', 'StolenBases']",0.46602413933661835,803150.579525987
"['Walks', 'Strikeouts', 'StolenBases']",0.3141757935271426,1057507.7103716643
"['BattingAvg', 'OnBasePct', 'Runs', 'Hits']",0.3923765786749187,927745.0790556639
"['BattingAvg', 'OnBasePct', 'Runs', 'Doubles']",0.38343307826650375,939908.1420481633
"['BattingAvg', 'OnBasePct', 'Runs', 'Triples']",0.41243907430837917,902561.6889257587
"['BattingAvg', 'OnBasePct', 'Runs', 'HomeRuns']",0.4375702541380848,858886.8871159332
"['BattingAvg', 'OnBasePct', 'Runs', 'RBI']",0.44298935403836975,845333.0263066187
"['BattingAvg', 'OnBasePct', 'Runs', 'Walks']",0.40366377263201436,913522.3194915305
"['BattingAvg', 'OnBasePct', 'Runs', 'Strikeouts']",0.39968414600341706,920527.5538285552
"['BattingAvg', 'OnBasePct', 'Runs', 'StolenBases']",0.40736503475585784,908420.7966037005
"['BattingAvg', 'OnBasePct', 'Hits', 'Doubles']",0.3701519481123081,951154.6465977558
"['BattingAvg', 'OnBasePct', 'Hits', 'Triples']",0.3897365079258902,925758.3836062805
"['BattingAvg', 'OnBasePct', 'Hits', 'HomeRuns']",0.43742387064635774,852564.9523265457
"['BattingAvg', 'OnBasePct', 'Hits', 'RBI']",0.43304621797338694,857130.8867768291
"['BattingAvg', 'OnBasePct', 'Hits', 'Walks']",0.38805253219065056,931945.9378552539
"['BattingAvg', 'OnBasePct', 'Hits', 'Strikeouts']",0.38197484621451416,935267.0515955149
"['BattingAvg', 'OnBasePct', 'Hits', 'StolenBases']",0.3815801521730928,936655.390114554
"['BattingAvg', 'OnBasePct', 'Doubles', 'Triples']",0.3059254157944798,1047413.816689311
"['BattingAvg', 'OnBasePct', 'Doubles', 'HomeRuns']",0.38509880675628605,929324.5258683611
"['BattingAvg', 'OnBasePct', 'Doubles', 'RBI']",0.41506442021649254,883241.6795235139
"['BattingAvg', 'OnBasePct', 'Doubles', 'Walks']",0.366684944513341,962378.0805547719
"['BattingAvg', 'OnBasePct', 'Doubles', 'Strikeouts']",0.3100527654064093,1040996.7618811053
"['BattingAvg', 'OnBasePct', 'Doubles', 'StolenBases']",0.3170514786043345,1030395.0525940622
"['BattingAvg', 'OnBasePct', 'Triples', 'HomeRuns']",0.35852610638110105,972533.9269432735
"['BattingAvg', 'OnBasePct', 'Triples', 'RBI']",0.4197874438095132,876617.1571448322
"['BattingAvg', 'OnBasePct', 'Triples', 'Walks']",0.3558276788797893,986191.1497434841
"['BattingAvg', 'OnBasePct', 'Triples', 'Strikeouts']",0.20265906941006734,1216972.396983134
"['BattingAvg', 'OnBasePct', 'Triples', 'StolenBases']",0.11019273374968856,1361558.3689650553
"['BattingAvg', 'OnBasePct', 'HomeRuns', 'RBI']",0.41745510308415473,880007.1807705542
"['BattingAvg', 'OnBasePct', 'HomeRuns', 'Walks']",0.4196826144750908,885384.9484692214
"['BattingAvg', 'OnBasePct', 'HomeRuns', 'Strikeouts']",0.346438808740478,993987.4008432862
